zip_code,state_code,state_name,city,time_zone
99752,AK,Alaska,Kotzebue,America/Nome
99761,AK,Alaska,Noatak,America/Nome
99763,AK,Alaska,Noorvik,America/Nome
99770,AK,Alaska,Selawik,America/Nome
99773,AK,Alaska,Shungnak,America/Nome
99786,AK,Alaska,Ambler,America/Nome
99903,AK,Alaska,Meyers Chuck,America/Juneau
99918,AK,Alaska,Coffman Cove,America/Juneau
99919,AK,Alaska,Thorne Bay,America/Juneau
99921,AK,Alaska,Craig,America/Juneau
99922,AK,Alaska,Hydaburg,America/Juneau
99923,AK,Alaska,Hyder,America/Juneau
99925,AK,Alaska,Klawock,America/Juneau
99926,AK,Alaska,Metlakatla,America/Juneau
99927,AK,Alaska,Point Baker,America/Juneau
99835,AK,Alaska,Sitka,America/Juneau
99689,AK,Alaska,Yakutat,America/Yakutat
99820,AK,Alaska,Angoon,America/Anchorage
99825,AK,Alaska,Elfin Cove,America/Juneau
99826,AK,Alaska,Gustavus,America/Juneau
99829,AK,Alaska,Hoonah,America/Juneau
99832,AK,Alaska,Pelican,America/Juneau
99840,AK,Alaska,Skagway,America/Juneau
99841,AK,Alaska,Tenakee Springs,America/Juneau
99731,AK,Alaska,Fort Greely,America/Anchorage
99732,AK,Alaska,Chicken,America/Anchorage
99737,AK,Alaska,Delta Junction,America/Anchorage
99738,AK,Alaska,Eagle,America/Anchorage
99764,AK,Alaska,Northway,America/Anchorage
99776,AK,Alaska,Tanacross,America/Anchorage
99779,AK,Alaska,Tetlin,America/Anchorage
99780,AK,Alaska,Tok,America/Anchorage
99566,AK,Alaska,Chitina,America/Anchorage
99573,AK,Alaska,Copper Center,America/Anchorage
99574,AK,Alaska,Cordova,America/Anchorage
99586,AK,Alaska,Gakona,America/Anchorage
99588,AK,Alaska,Glennallen,America/Anchorage
99677,AK,Alaska,Tatitlek,America/Anchorage
99686,AK,Alaska,Valdez,America/Anchorage
99693,AK,Alaska,Whittier,America/Anchorage
99554,AK,Alaska,Alakanuk,America/Nome
99563,AK,Alaska,Chevak,America/Nome
99581,AK,Alaska,Emmonak,America/Nome
99585,AK,Alaska,Marshall,America/Nome
99604,AK,Alaska,Hooper Bay,America/Nome
99620,AK,Alaska,Kotlik,America/Nome
99632,AK,Alaska,Mountain Village,America/Nome
99650,AK,Alaska,Pilot Station,America/Nome
99657,AK,Alaska,Russian Mission,America/Nome
99658,AK,Alaska,Saint Marys,America/Nome
99662,AK,Alaska,Scammon Bay,America/Nome
99666,AK,Alaska,Sheldon Point,America/Nome
99830,AK,Alaska,Kake,America/Juneau
99833,AK,Alaska,Petersburg,America/Juneau
99836,AK,Alaska,Port Alexander,America/Juneau
99929,AK,Alaska,Wrangell,America/Anchorage
99558,AK,Alaska,Anvik,America/Anchorage
99584,AK,Alaska,Flat,America/Nome
99590,AK,Alaska,Grayling,America/Anchorage
99602,AK,Alaska,Holy Cross,America/Anchorage
99627,AK,Alaska,Mc Grath,America/Anchorage
